video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NiCUIXj_nX4&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Peer Advisors / UW Tacoma,97,6 years,UW Tacoma's Peer Advisors - a group of student leaders willing to guide new incoming students to success throughout their time ...,2024-01-23 19:32:26.043069
/watch?v=HI-keyo0NOU&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Aidan Helt: First Generation College Celebration 2020 / UW Tacoma,85,3 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.044948
/watch?v=et4BVFx8o5I&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,MILGARD Winter MWI Inspired Speaker Series/ UW Tacoma,156,2 years,From the Center for Leadership and Social Responsibility - Milgard Women's Initiative program. This event featured speaker ...,2024-01-23 19:32:26.046652
/watch?v=xvk1MSWT6a0&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Angel Torres: First Generation College Celebration 2020 / UW Tacoma,87,3 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.048598
/watch?v=cF2OCoE2ccw&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Leilt Kubie: First Generation College Celebration 2020 / UW Tacoma,107,3 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.050382
/watch?v=nH6Ad4aaE6I&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Financial Aid: Different Aid Types / UW Tacoma,335,2 years,For more information: https://www.tacoma.uw.edu/finaid #Shorts --- The University of Washington Tacoma / Be Boundless ...,2024-01-23 19:32:26.052098
/watch?v=yWxlNvHrvBY&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Monika Delfierro: First Generation College Celebration 2020 / UW Tacoma,118,3 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.053929
/watch?v=nP22hn9zpyA&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Alison Hendricks: First Generation College Celebration 2020 / UW Tacoma,32,3 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.055681
/watch?v=i9hjx7CI5F8&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Major Donor Wall Installation  / UW Tacoma,857,6 years,A new donor wall in the Tacoma Paper and Stationary Building honors those who made UW Tacoma possible. --- The University ...,2024-01-23 19:32:26.056972
/shorts/lG6glmYqZ2U,/@uwtacoma3145,UW Tacoma,Early Action Deadline 2022 / UW Tacoma,314,1 year,Apply Now: tacoma.uw.edu/apply --- The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu ...,2024-01-23 19:32:26.058338
/watch?v=KsiygSHiP54&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Tipos de Ayuda Financiera / UW Tacoma,40,1 year,Para más información: https://www.tacoma.uw.edu/finaid --- The University of Washington Tacoma / Be Boundless Website: ...,2024-01-23 19:32:26.059685
